Name,Genre,Year,Duration,Average_Rating,Num_of_Rating(in K)
Heat,Drama,1995,2.5,8.3,772
Double Indemnity,Thriller,1944,1.47,8.3,177
North by Northwest,Thriller,1959,2.16,8.3,363
Up,Family,2009,1.36,8.3,1200
M,Thriller,1931,1.39,8.3,179
Citizen Kane,Mystery,1941,1.59,8.2,486
Full Metal Jacket,War,1987,1.56,8.2,831
Vertigo,Thriller,1958,2.8,8.2,450
Amélie,Romance,2001,2.2,8.3,825
Like Stars on Earth,Family,2007,2.42,8.3,224
A Separation,Drama,2011,2.3,8.3,272
To Kill a Mockingbird,Drama,1962,2.9,8.3,346
Die Hard,Thriller,1988,2.12,8.2,1000
Indiana Jones and the Last Crusade,Adventure,1989,2.7,8.2,847
The Sting,Drama,1973,2.9,8.2,293
A Clockwork Orange,Sci-Fi,1971,2.16,8.2,919
Metropolis,Sci-Fi,1927,2.33,8.3,197
Oppenheimer,History,2023,0.3,8.3,932
Snatch,Crime,2000,1.42,8.2,955
1917,War,2019,1.59,8.2,741
L.A. Confidential,Mystery,1997,2.18,8.2,647
Bicycle Thieves,Financial Drama,1948,1.29,8.2,188
Downfall,War,2004,2.36,8.2,392
Dangal,Sport,2016,2.41,8.3,231
The Wolf of Wall Street,Drama,2013,0.3,8.2,1700
The Chaos Class Failed the Class,Comedy,1975,1.35,8.6,28
Green Book,Music,2018,2.1,8.2,651
Hamilton,Musical,2020,2.4,8.3,132
The Truman Show,Drama,1998,1.43,8.2,1300
Taxi Driver,Drama,1976,1.54,8.2,994
Batman Begins,Thriller,2005,2.2,8.2,1700
For a Few Dollars More,Western,1965,2.12,8.2,293
Judgment at Nuremberg,War,1961,2.59,8.3,93
Shutter Island,Thriller,2010,2.18,8.2,1600
Some Like It Hot,Romance,1959,2.1,8.2,298
Jurassic Park,Thriller,1993,2.7,8.2,1100
The Kid,Family,1921,1.8,8.2,143
The Father,Mystery,2020,1.37,8.2,218
All About Eve,Drama,1950,2.18,8.2,146
There Will Be Blood,Drama,2007,2.38,8.2,681
The Sixth Sense,Thriller,1999,1.47,8.2,1100
Ran,War,1985,2.4,8.2,147
Casino,Drama,1995,2.58,8.2,601
Top Gun: Maverick,Drama,2022,2.1,8.2,800
No Country for Old Men,Thriller,2007,2.2,8.2,1100
The Thing,Sci-Fi,1982,1.49,8.2,507
Unforgiven,Western,1992,2.1,8.2,459
Pan's Labyrinth,War,2006,1.58,8.2,731
Kill Bill: Vol. 1,Thriller,2003,1.51,8.2,1300
A Beautiful Mind,Mystery,2001,2.15,8.2,1000
Prisoners,Thriller,2013,2.33,8.2,891
The Treasure of the Sierra Madre,Western,1948,2.6,8.2,139
Yojimbo,Thriller,1961,1.5,8.2,140
Finding Nemo,Family,2003,1.4,8.2,1200
Howl's Moving Castle,Fantasy,2004,1.59,8.2,492
The Best of Youth,Romance,2003,6.14,8.4,26
The Great Escape,War,1963,2.52,8.2,272
Monty Python and the Holy Grail,Fantasy,1975,1.31,8.2,593
The Elephant Man,Drama,1980,2.4,8.2,276
Klaus,Holiday,2019,1.36,8.2,219
Dial M for Murder,Thriller,1954,1.45,8.2,200
Gone with the Wind,War,1939,3.58,8.2,350
The Secret in Their Eyes,Drama,2009,2.9,8.2,236
Chinatown,Thriller,1974,2.1,8.1,369
"Lock, Stock and Two Smoking Barrels",Crime,1998,1.47,8.1,640
V for Vendetta,Thriller,2005,2.12,8.1,1200
Rashomon,Mystery,1950,1.28,8.1,192
Inside Out,Fantasy,2015,1.35,8.1,882
"Three Billboards Outside Ebbing, Missouri",Drama,2017,1.55,8.1,590
Catch Me If You Can,Drama,2002,2.21,8.1,1200
Trainspotting,Drama,1996,1.33,8.1,756
The Bridge on the River Kwai,War,1957,2.41,8.1,244
Raging Bull,Sport,1980,2.9,8.1,400
Harry Potter and the Deathly Hallows: Part 2,Mystery,2011,2.1,8.1,1000
Fargo,Thriller,1996,1.38,8.1,764
The Wild Robot,Sci-Fi,2024,1.42,8.2,195
Warrior,Sport,2011,2.2,8.1,519
Million Dollar Baby,Sport,2004,2.12,8.1,753
Gran Torino,Drama,2008,1.56,8.1,847
Dead Poets Society,Drama,1989,2.8,8.1,608
Ben-Hur,Drama,1959,3.32,8.1,266
Mad Max: Fury Road,Adventure,2015,0.2,8.1,1200
Barry Lyndon,Adventure,1975,3.5,8.1,197
My Neighbor Totoro,Fantasy,1988,1.26,8.1,415
Children of Heaven,Sport,1997,1.29,8.2,87
Hacksaw Ridge,War,2016,2.19,8.1,651
The Grand Budapest Hotel,Drama,2014,1.39,8.1,939
12 Years a Slave,History,2013,2.14,8.1,771
Before Sunrise,Romance,1995,1.41,8.1,365
Spider-Man: No Way Home,Sci-Fi,2021,2.28,8.2,974
Blade Runner,Thriller,1982,1.57,8.1,862
Memories of Murder,Thriller,2003,2.12,8.1,250
Gone Girl,Thriller,2014,2.29,8.1,1100
Ratatouille,Fantasy,2007,1.51,8.1,904
How to Train Your Dragon,Fantasy,2010,1.38,8.1,865
"Monsters, Inc.",Family,2001,1.32,8.1,1000
In the Name of the Father,Drama,1993,2.13,8.1,198
Jaws,Thriller,1975,2.4,8.1,713
Wild Tales,Thriller,2014,2.2,8.1,232
The Gold Rush,Western,1925,1.35,8.1,126
Ford v Ferrari,Sport,2019,2.32,8.1,540
Sherlock Jr.,Romance,1924,0.45,8.1,63
Mary and Max,Drama,2009,1.32,8.1,198
The Deer Hunter,War,1978,3.3,8.1,379
The Wages of Fear,Thriller,1953,2.36,8.1,72
The General,War,1926,1.18,8.1,104
Mr. Smith Goes to Washington,Drama,1939,2.9,8.1,127
On the Waterfront,Thriller,1954,1.48,8.1,174
Logan,Thriller,2017,2.17,8.1,902
Rocky,Sport,1976,0.2,8.1,669
Wild Strawberries,Romance,1957,1.32,8.1,122
Tokyo Story,Drama,1953,2.17,8.1,75
The Third Man,Thriller,1949,1.44,8.1,191
Spotlight,Drama,2015,2.9,8.1,524
Maharaja,Thriller,2024,2.21,8.4,73
Pirates of the Caribbean: The Curse of the Black Pearl,Fantasy,2003,2.23,8.1,1300
The Terminator,Sci-Fi,1984,1.47,8.1,976
The Big Lebowski,Crime,1998,1.57,8.1,899
La haine,Drama,1995,1.38,8.1,216
The Seventh Seal,Fantasy,1957,1.36,8.1,211
Jai Bhim,Drama,2021,2.44,8.6,229
Room,Thriller,2015,1.58,8.1,472
Hotel Rwanda,War,2004,2.1,8.1,386
Platoon,War,1986,0.2,8.1,461
The Best Years of Our Lives,War,1946,2.5,8.1,76
Before Sunset,Romance,2004,1.2,8.1,306
The Sound of Music,Romance,1965,2.52,8.1,281
The Exorcist,Horror,1973,2.2,8.1,484
The Incredibles,Family,2004,1.55,8.0,870
Hachi: A Dog's Tale,Family,2009,1.33,8.1,333
Rush,Sport,2013,2.3,8.1,544
The Wizard of Oz,Musical,1939,1.42,8.1,456
A Silent Voice: The Movie,Drama,2016,2.1,8.1,127
The Passion of Joan of Arc,History,1928,1.54,8.1,66
Stand by Me,Drama,1986,1.29,8.1,471
The Iron Giant,Animation,1999,1.26,8.1,250
My Father and My Son,Family,2005,1.52,8.2,99
The Handmaiden,Thriller,2016,2.25,8.1,193
Network,Drama,1976,2.1,8.1,182
The Battle of Algiers,War,1966,2.1,8.1,73
The Grapes of Wrath,Drama,1940,2.9,8.1,106
To Be or Not to Be,War,1942,1.39,8.1,48
Into the Wild,Drama,2007,2.28,8.0,685
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,Adventure,2020,1.57,8.2,89
The Help,Drama,2011,2.26,8.1,518
Drishyam,Thriller,2015,2.43,8.2,104
Groundhog Day,Romance,1993,1.41,8.0,725
Gangs of Wasseypur,Thriller,2012,5.21,8.2,110
