,Name,Genre,Year,Duration,Average_Rating,Num_of_Rating
230,231. The Incredibles,Family,2004,1h 55m,8.0, (870K)
231,232. Hachi: A Dog's Tale,Family,2009,1h 33m,8.1, (333K)
232,233. Rush,Sport,2013,2h 3m,8.1, (544K)
233,234. The Wizard of Oz,Musical,1939,1h 42m,8.1, (456K)
234,235. A Silent Voice: The Movie,Drama,2016,2h 10m,8.1, (127K)
235,236. The Passion of Joan of Arc,History,1928,1h 54m,8.1, (66K)
236,237. Stand by Me,Drama,1986,1h 29m,8.1, (471K)
237,238. The Iron Giant,Animation,1999,1h 26m,8.1, (250K)
238,239. My Father and My Son,Family,2005,1h 52m,8.2, (99K)
239,240. The Handmaiden,Thriller,2016,2h 25m,8.1, (193K)
240,241. Network,Drama,1976,2h 1m,8.1, (182K)
241,242. The Battle of Algiers,War,1966,2h 1m,8.1, (73K)
242,243. The Grapes of Wrath,Drama,1940,2h 9m,8.1, (106K)
243,244. To Be or Not to Be,War,1942,1h 39m,8.1, (48K)
244,245. Into the Wild,Drama,2007,2h 28m,8.0, (685K)
245,246. Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,Adventure,2020,1h 57m,8.2, (89K)
246,247. The Help,Drama,2011,2h 26m,8.1, (518K)
247,248. Drishyam,Thriller,2015,2h 43m,8.2, (104K)
248,249. Groundhog Day,Romance,1993,1h 41m,8.0, (725K)
249,250. Gangs of Wasseypur,Thriller,2012,5h 21m,8.2, (110K)
